timestamp,value,rolling_mean_10,rolling_mean_30,rolling_std_30,rolling_std_60,rolling_max_10,rolling_min_10,value_diff,pct_change,z_score,anomaly_score,model_anomaly,anomaly,anomaly_type
09-02-2026 00:00,51.68101552180033,,,,,,,,,,,0,0,normal
09-02-2026 00:01,52.830849445506615,,,,,,,,,,,0,0,normal
09-02-2026 00:02,49.90749632418419,,,,,,,,,,,0,0,normal
09-02-2026 00:03,48.34428914923619,,,,,,,,,,,0,0,normal
09-02-2026 00:04,50.80477645972558,,,,,,,,,,,0,0,normal
09-02-2026 00:05,48.71005968291984,,,,,,,,,,,0,0,normal
09-02-2026 00:06,51.53220536343558,,,,,,,,,,,0,0,normal
09-02-2026 00:07,49.65541707099227,,,,,,,,,,,0,0,normal
09-02-2026 00:08,47.91194723435679,,,,,,,,,,,0,0,normal
09-02-2026 00:09,50.868616739530246,,,,,,,,,,,0,0,normal
09-02-2026 00:10,50.67447977997493,,,,,,,,,,,0,0,normal
09-02-2026 00:11,51.3202760851857,,,,,,,,,,,0,0,normal
09-02-2026 00:12,47.33693374381588,,,,,,,,,,,0,0,normal
09-02-2026 00:13,51.85839743991839,,,,,,,,,,,0,0,normal
09-02-2026 00:14,51.14113367456632,,,,,,,,,,,0,0,normal
09-02-2026 00:15,48.4169398943373,,,,,,,,,,,0,0,normal
09-02-2026 00:16,51.87953035239091,,,,,,,,,,,0,0,normal
09-02-2026 00:17,50.7439267601699,,,,,,,,,,,0,0,normal
09-02-2026 00:18,52.34049183314169,,,,,,,,,,,0,0,normal
09-02-2026 00:19,51.56842632897438,,,,,,,,,,,0,0,normal
09-02-2026 00:20,49.79151764620997,,,,,,,,,,,0,0,normal
09-02-2026 00:21,51.20452997126812,,,,,,,,,,,0,0,normal
09-02-2026 00:22,46.84167269523896,,,,,,,,,,,0,0,normal
09-02-2026 00:23,50.054526597945966,,,,,,,,,,,0,0,normal
09-02-2026 00:24,50.90556953484445,,,,,,,,,,,0,0,normal
