timestamp,value,rolling_mean_10,rolling_mean_30,rolling_std_30,rolling_max_10,rolling_min_10,value_diff,pct_change,z_score,anomaly,anomaly_type
05-01-2026 00:00,62.96355747,59.80340633,59.14954058,1.803976104,62.96355747,57.43733057,4.301798889,0.073332252,2.114228053,0,normal
05-01-2026 00:01,59.63565619,59.92697297,59.13516196,1.798120766,62.96355747,57.43733057,-3.32790128,-0.052854404,0.278342948,0,normal
05-01-2026 00:02,56.02528094,59.71241831,59.07333487,1.873088871,62.96355747,56.02528094,-3.61037525,-0.060540547,-1.627287408,0,normal
05-01-2026 00:03,61.24998035,59.95763988,59.16148869,1.912130543,62.96355747,56.02528094,5.224699409,0.093256104,1.092232779,0,normal
05-01-2026 00:04,56.91207209,59.72375536,59.08997506,1.955775573,62.96355747,56.02528094,-4.337908262,-0.070823015,-1.113575099,0,normal
05-01-2026 00:05,57.35300306,59.17128663,58.98548029,1.96224834,62.96355747,56.02528094,0.440930968,0.007747582,-0.831942218,0,normal
05-01-2026 00:06,57.79559733,59.20711331,58.90686649,1.96106138,62.96355747,56.02528094,0.442594271,0.00771702,-0.5666672,0,normal
05-01-2026 00:07,55.517557,58.90096428,58.89193382,1.985780492,62.96355747,55.517557,-2.278040331,-0.039415465,-1.699269803,0,normal
05-01-2026 00:08,55.66069753,58.17751605,58.80470572,2.069412271,62.96355747,55.517557,0.143140536,0.002578293,-1.519275899,0,normal
05-01-2026 00:09,56.27466975,57.93880717,58.68974286,2.111967953,62.96355747,55.517557,0.61397222,0.011030624,-1.143517876,0,normal
05-01-2026 00:10,56.80208571,57.32265999,58.57955785,2.121649134,61.24998035,55.517557,0.527415954,0.009372173,-0.837778552,0,normal
05-01-2026 00:11,57.08902808,57.06799718,58.60337115,2.099945908,61.24998035,55.517557,0.286942377,0.005051617,-0.721134321,0,normal
05-01-2026 00:12,58.32939836,57.29840893,58.64817225,2.078463593,61.24998035,55.517557,1.240370277,0.021726947,-0.153369963,0,normal
05-01-2026 00:13,60.64263931,57.23767482,58.67619307,2.100109258,60.64263931,55.517557,2.31324095,0.039658234,0.936354256,0,normal
05-01-2026 00:14,58.52090816,57.39855843,58.6680437,2.100225547,60.64263931,55.517557,-2.121731152,-0.034987447,-0.070057019,0,normal
05-01-2026 00:15,60.64789673,57.7280478,58.74193636,2.130382458,60.64789673,55.517557,2.126988574,0.036345789,0.894656434,0,normal
05-01-2026 00:16,59.91007362,57.93949543,58.68597817,2.074335924,60.64789673,55.517557,-0.73782311,-0.012165683,0.590114376,0,normal
05-01-2026 00:17,57.8856518,58.17630491,58.63226698,2.073473309,60.64789673,55.66069753,-2.024421825,-0.033791009,-0.360079475,0,normal
05-01-2026 00:18,57.63365174,58.37360033,58.55060976,2.062564151,60.64789673,56.27466975,-0.252000061,-0.004353411,-0.444571879,0,normal
05-01-2026 00:19,58.20259405,58.56639276,58.61220439,2.021918481,60.64789673,56.80208571,0.568942312,0.009871703,-0.202584991,0,normal
05-01-2026 00:20,53.5524821,58.24143239,58.45583291,2.222827143,60.64789673,53.5524821,-4.650111948,-0.07989527,-2.205907382,0,normal
